DateTime	Type	PlayerName	Message
05/01/2026 03:50	Event		Map Vote is preparing for reloading maps - cleaning arrays...
05/01/2026 03:50	Event		Map Vote has cleaned maps - reloading started...
05/01/2026 03:50	Event		Loading & Sorting presumed time to finish took 2.380131 seconds.
05/01/2026 12:25	Event		Chunky_Vittles entered the game.
05/01/2026 12:25	Join	Chunky_Vittles	74.89.98.110
05/01/2026 12:25	Event		DyslexicFotherMucker entered the game.
05/01/2026 12:31	Event		dd entered the game.
05/01/2026 12:31	Join	dd	169.241.65.228
05/01/2026 12:31	Event		DyslexicFotherMucker left the game.
05/01/2026 12:32	Say	Chunky_Vittles	yo
05/01/2026 12:32	Say	dd	wsp
05/01/2026 12:33	Say	Chunky_Vittles	im trying to figure out how to get outside on this map .ol
05/01/2026 12:33	Say	dd	lold
05/01/2026 12:34	Say	Chunky_Vittles	do you know how?
05/01/2026 12:34	Say	dd	nah im just playing some ut
05/01/2026 12:35	Event		dd left the game.
